,0
HW,HW9
Q1,4
Q2,3
Q3,3
Q4,2
Q5,0.712
Q6,0.786474
Q7,15001001
Q8,0.5009859999999999
bonus,0.492518
bonus_model,"model = Sequential()
model.add(Dense(600, input_dim=30000, activation='tanh'))
model.add(Dense(1, activation='sigmoid'))

model.compile(loss='binary_crossentropy', optimizer='SGD', metrics=['accuracy'])
"
